Modality,Model,Selected Threshold,Default Accuracy,Default F1,Accuracy,Precision,Recall,F1-score,Balanced Accuracy,ROC-AUC,TP,TN,FP,FN
Fusion,XGBoost,0.71,0.8760683760683761,0.8975265017667845,0.8632478632478633,0.9291338582677166,0.8368794326241135,0.8805970149253731,0.8700526195378632,0.9335011057728971,118,84,9,23
Video,LogisticRegression,0.28,0.8675213675213675,0.8888888888888888,0.8247863247863247,0.8333333333333334,0.8865248226950354,0.8591065292096219,0.8088538091969801,0.895218485472432,125,68,25,16
Video,XGBoost,0.43,0.811965811965812,0.8428571428571429,0.8247863247863247,0.8424657534246576,0.8723404255319149,0.8571428571428571,0.8125142987874628,0.8911766948829406,123,70,23,18
Fusion,LogisticRegression,0.04,0.8418803418803419,0.8710801393728222,0.7735042735042735,0.7365591397849462,0.9716312056737588,0.8379204892966361,0.7223747426218257,0.91725768321513,137,44,49,4
Fusion,SVM,0.38,0.7393162393162394,0.7749077490774908,0.7478632478632479,0.7383720930232558,0.900709219858156,0.8115015974440895,0.7084191260581103,0.8350491878288722,127,48,45,14
Video,SVM,0.51,0.7606837606837606,0.8082191780821918,0.7564102564102564,0.7876712328767124,0.8156028368794326,0.8013937282229965,0.7411347517730495,0.8255547929535576,115,62,31,26
Video,RandomForest,0.53,0.7521367521367521,0.8129032258064516,0.7478632478632479,0.7697368421052632,0.8297872340425532,0.7986348122866894,0.726721574010524,0.821856173263174,117,58,35,24
Fusion,RandomForest,0.54,0.7606837606837606,0.7971014492753623,0.7649572649572649,0.8524590163934426,0.7375886524822695,0.7908745247148289,0.7720201326927476,0.8600625333638374,104,75,18,37
Audio,SVM,0.29,0.6153846153846154,0.6830985915492958,0.6111111111111112,0.6086956521739131,0.9929078014184397,0.7547169811320755,0.5125829329672844,0.7015175779760542,140,3,90,1
Audio,XGBoost,0.01,0.6282051282051282,0.6859205776173285,0.6025641025641025,0.6025641025641025,1.0,0.752,0.5,0.7083809959582095,141,0,93,0
Audio,RandomForest,0.01,0.6282051282051282,0.6881720430107527,0.6025641025641025,0.6025641025641025,1.0,0.752,0.5,0.6961793639899336,141,0,93,0
Audio,LogisticRegression,0.05,0.6666666666666666,0.7111111111111111,0.6153846153846154,0.6186046511627907,0.9432624113475178,0.7471910112359551,0.5307709906199954,0.7563486616334933,133,11,82,8
