Modality,Model,Selected Threshold,Default Accuracy,Default F1,Accuracy,Precision,Recall,F1-score,Balanced Accuracy,ROC-AUC,TP,TN,FP,FN
Fusion,XGBoost,0.32,0.8578947368421053,0.8571428571428571,0.8578947368421053,0.8431372549019608,0.8865979381443299,0.864321608040201,0.8572774636958209,0.938366034807671,86,77,16,11
Video,LogisticRegression,0.21,0.8263157894736842,0.8290155440414507,0.8210526315789474,0.7889908256880734,0.8865979381443299,0.8349514563106796,0.8196430550936703,0.8943576100210618,86,70,23,11
Video,XGBoost,0.41,0.8368421052631579,0.8393782383419689,0.8263157894736842,0.82,0.845360824742268,0.8324873096446701,0.8259062188227468,0.9184125928389314,82,75,18,15
Fusion,LogisticRegression,0.34,0.8157894736842105,0.8223350253807107,0.8210526315789474,0.8,0.865979381443299,0.8316831683168316,0.8200864649151979,0.8941359051102982,84,72,21,13
Fusion,RandomForest,0.41,0.7789473684210526,0.7439024390243902,0.7421052631578947,0.7222222222222222,0.8041237113402062,0.7609756097560976,0.740771533089458,0.8422569559915752,78,63,30,19
Video,SVM,0.48,0.7157894736842105,0.71875,0.7263157894736842,0.7227722772277227,0.7525773195876289,0.7373737373737373,0.7257510253852123,0.8149318257399402,73,65,28,24
Video,RandomForest,0.34,0.7473684210526316,0.7419354838709677,0.631578947368421,0.5828220858895705,0.979381443298969,0.7307692307692307,0.6240993238000221,0.8383771200532092,95,25,68,2
Fusion,SVM,0.67,0.7052631578947368,0.6781609195402298,0.7210526315789474,0.8928571428571429,0.5154639175257731,0.6535947712418301,0.7254738942467576,0.7862764660237225,50,87,6,47
Audio,XGBoost,0.8,0.6578947368421053,0.6368715083798883,0.7052631578947368,0.847457627118644,0.5154639175257731,0.6410256410256411,0.7093448619886931,0.6597938144329897,50,84,9,47
Audio,RandomForest,0.67,0.6631578947368421,0.627906976744186,0.7052631578947368,0.8867924528301887,0.4845360824742268,0.6266666666666667,0.7100099767209843,0.6539186342977497,47,87,6,50
Audio,SVM,0.62,0.6157894736842106,0.5780346820809249,0.6894736842105263,0.8653846153846154,0.4639175257731959,0.6040268456375839,0.6943243542844474,0.6423899789380336,45,86,7,52
Audio,LogisticRegression,0.89,0.6578947368421053,0.656084656084656,0.6736842105263158,0.8181818181818182,0.4639175257731959,0.5921052631578947,0.6781953220263829,0.7121161733732401,45,83,10,52
