Modality,Model,threshold,accuracy,precision,recall,f1,balanced_accuracy,tp,tn,fp,fn
Audio,LogisticRegression,0.01,0.5,0.4945054945054945,0.9782608695652174,0.656934306569343,0.509963768115942,45,2,46,1
Audio,LogisticRegression,0.02,0.5,0.4942528735632184,0.9347826086956522,0.6466165413533834,0.5090579710144928,43,4,44,3
Audio,LogisticRegression,0.03,0.48936170212765956,0.4883720930232558,0.9130434782608695,0.6363636363636364,0.49818840579710144,42,4,44,4
Audio,LogisticRegression,0.04,0.5106382978723404,0.5,0.9130434782608695,0.6461538461538462,0.5190217391304348,42,6,42,4
Audio,LogisticRegression,0.05,0.5212765957446809,0.5060240963855421,0.9130434782608695,0.6511627906976745,0.5294384057971014,42,7,41,4
Audio,LogisticRegression,0.06,0.5212765957446809,0.5060240963855421,0.9130434782608695,0.6511627906976745,0.5294384057971014,42,7,41,4
Audio,LogisticRegression,0.07,0.5212765957446809,0.5060240963855421,0.9130434782608695,0.6511627906976745,0.5294384057971014,42,7,41,4
Audio,LogisticRegression,0.08,0.5319148936170213,0.5121951219512195,0.9130434782608695,0.65625,0.5398550724637681,42,8,40,4
Audio,LogisticRegression,0.09,0.574468085106383,0.5384615384615384,0.9130434782608695,0.6774193548387096,0.5815217391304348,42,12,36,4
Audio,LogisticRegression,0.1,0.5638297872340425,0.5324675324675324,0.8913043478260869,0.6666666666666666,0.5706521739130435,41,12,36,5
Audio,LogisticRegression,0.11,0.5531914893617021,0.5263157894736842,0.8695652173913043,0.6557377049180327,0.5597826086956521,40,12,36,6
Audio,LogisticRegression,0.12,0.5531914893617021,0.5263157894736842,0.8695652173913043,0.6557377049180327,0.5597826086956521,40,12,36,6
Audio,LogisticRegression,0.13,0.5319148936170213,0.5135135135135135,0.8260869565217391,0.6333333333333333,0.5380434782608696,38,12,36,8
Audio,LogisticRegression,0.14,0.5319148936170213,0.5135135135135135,0.8260869565217391,0.6333333333333333,0.5380434782608696,38,12,36,8
Audio,LogisticRegression,0.15,0.5319148936170213,0.5138888888888888,0.8043478260869565,0.6271186440677966,0.5375905797101449,37,13,35,9
Audio,LogisticRegression,0.16,0.5425531914893617,0.5217391304347826,0.782608695652174,0.6260869565217392,0.5475543478260869,36,15,33,10
Audio,LogisticRegression,0.17,0.5425531914893617,0.5217391304347826,0.782608695652174,0.6260869565217392,0.5475543478260869,36,15,33,10
Audio,LogisticRegression,0.18,0.5638297872340425,0.5373134328358209,0.782608695652174,0.6371681415929203,0.5683876811594203,36,17,31,10
Audio,LogisticRegression,0.19,0.5638297872340425,0.5373134328358209,0.782608695652174,0.6371681415929203,0.5683876811594203,36,17,31,10
Audio,LogisticRegression,0.2,0.574468085106383,0.5454545454545454,0.782608695652174,0.6428571428571429,0.5788043478260869,36,18,30,10
Audio,LogisticRegression,0.21,0.574468085106383,0.5454545454545454,0.782608695652174,0.6428571428571429,0.5788043478260869,36,18,30,10
Audio,LogisticRegression,0.22,0.574468085106383,0.5454545454545454,0.782608695652174,0.6428571428571429,0.5788043478260869,36,18,30,10
Audio,LogisticRegression,0.23,0.574468085106383,0.5454545454545454,0.782608695652174,0.6428571428571429,0.5788043478260869,36,18,30,10
Audio,LogisticRegression,0.24,0.5957446808510638,0.5625,0.782608695652174,0.6545454545454545,0.5996376811594203,36,20,28,10
Audio,LogisticRegression,0.25,0.5957446808510638,0.5625,0.782608695652174,0.6545454545454545,0.5996376811594203,36,20,28,10
Audio,LogisticRegression,0.26,0.5957446808510638,0.5625,0.782608695652174,0.6545454545454545,0.5996376811594203,36,20,28,10
Audio,LogisticRegression,0.27,0.5957446808510638,0.5625,0.782608695652174,0.6545454545454545,0.5996376811594203,36,20,28,10
Audio,LogisticRegression,0.28,0.5957446808510638,0.5625,0.782608695652174,0.6545454545454545,0.5996376811594203,36,20,28,10
Audio,LogisticRegression,0.29,0.5851063829787234,0.5555555555555556,0.7608695652173914,0.6422018348623854,0.588768115942029,35,20,28,11
Audio,LogisticRegression,0.3,0.5957446808510638,0.5645161290322581,0.7608695652173914,0.6481481481481481,0.5991847826086957,35,21,27,11
Audio,LogisticRegression,0.31,0.5957446808510638,0.5645161290322581,0.7608695652173914,0.6481481481481481,0.5991847826086957,35,21,27,11
Audio,LogisticRegression,0.32,0.5957446808510638,0.5645161290322581,0.7608695652173914,0.6481481481481481,0.5991847826086957,35,21,27,11
Audio,LogisticRegression,0.33,0.5957446808510638,0.5645161290322581,0.7608695652173914,0.6481481481481481,0.5991847826086957,35,21,27,11
Audio,LogisticRegression,0.34,0.6063829787234043,0.5737704918032787,0.7608695652173914,0.6542056074766355,0.6096014492753623,35,22,26,11
Audio,LogisticRegression,0.35,0.6063829787234043,0.5737704918032787,0.7608695652173914,0.6542056074766355,0.6096014492753623,35,22,26,11
Audio,LogisticRegression,0.36,0.6276595744680851,0.5932203389830508,0.7608695652173914,0.6666666666666666,0.6304347826086957,35,24,24,11
Audio,LogisticRegression,0.37,0.6382978723404256,0.603448275862069,0.7608695652173914,0.6730769230769231,0.6408514492753623,35,25,23,11
Audio,LogisticRegression,0.38,0.6382978723404256,0.603448275862069,0.7608695652173914,0.6730769230769231,0.6408514492753623,35,25,23,11
Audio,LogisticRegression,0.39,0.6382978723404256,0.603448275862069,0.7608695652173914,0.6730769230769231,0.6408514492753623,35,25,23,11
Audio,LogisticRegression,0.4,0.648936170212766,0.6140350877192983,0.7608695652173914,0.6796116504854369,0.651268115942029,35,26,22,11
Audio,LogisticRegression,0.41,0.6595744680851063,0.625,0.7608695652173914,0.6862745098039216,0.6616847826086957,35,27,21,11
Audio,LogisticRegression,0.42,0.6702127659574468,0.6363636363636364,0.7608695652173914,0.693069306930693,0.6721014492753623,35,28,20,11
Audio,LogisticRegression,0.43,0.6808510638297872,0.6481481481481481,0.7608695652173914,0.7,0.682518115942029,35,29,19,11
Audio,LogisticRegression,0.44,0.6914893617021277,0.660377358490566,0.7608695652173914,0.7070707070707071,0.6929347826086957,35,30,18,11
Audio,LogisticRegression,0.45,0.6914893617021277,0.660377358490566,0.7608695652173914,0.7070707070707071,0.6929347826086957,35,30,18,11
Audio,LogisticRegression,0.46,0.6914893617021277,0.6666666666666666,0.7391304347826086,0.7010309278350515,0.692481884057971,34,31,17,12
Audio,LogisticRegression,0.47,0.6914893617021277,0.6666666666666666,0.7391304347826086,0.7010309278350515,0.692481884057971,34,31,17,12
Audio,LogisticRegression,0.48,0.7021276595744681,0.68,0.7391304347826086,0.7083333333333334,0.7028985507246377,34,32,16,12
Audio,LogisticRegression,0.49,0.7021276595744681,0.6875,0.717391304347826,0.7021276595744681,0.7024456521739131,33,33,15,13
Audio,LogisticRegression,0.5,0.7021276595744681,0.6875,0.717391304347826,0.7021276595744681,0.7024456521739131,33,33,15,13
Audio,LogisticRegression,0.51,0.7021276595744681,0.6875,0.717391304347826,0.7021276595744681,0.7024456521739131,33,33,15,13
Audio,LogisticRegression,0.52,0.7021276595744681,0.6875,0.717391304347826,0.7021276595744681,0.7024456521739131,33,33,15,13
Audio,LogisticRegression,0.53,0.7127659574468085,0.7021276595744681,0.717391304347826,0.7096774193548387,0.7128623188405797,33,34,14,13
Audio,LogisticRegression,0.54,0.7127659574468085,0.7021276595744681,0.717391304347826,0.7096774193548387,0.7128623188405797,33,34,14,13
Audio,LogisticRegression,0.55,0.7127659574468085,0.7021276595744681,0.717391304347826,0.7096774193548387,0.7128623188405797,33,34,14,13
Audio,LogisticRegression,0.56,0.723404255319149,0.717391304347826,0.717391304347826,0.717391304347826,0.7232789855072463,33,35,13,13
Audio,LogisticRegression,0.57,0.7127659574468085,0.7111111111111111,0.6956521739130435,0.7032967032967034,0.712409420289855,32,35,13,14
Audio,LogisticRegression,0.58,0.7127659574468085,0.7111111111111111,0.6956521739130435,0.7032967032967034,0.712409420289855,32,35,13,14
Audio,LogisticRegression,0.59,0.7127659574468085,0.7111111111111111,0.6956521739130435,0.7032967032967034,0.712409420289855,32,35,13,14
Audio,LogisticRegression,0.6,0.7127659574468085,0.7111111111111111,0.6956521739130435,0.7032967032967034,0.712409420289855,32,35,13,14
Audio,LogisticRegression,0.61,0.723404255319149,0.7272727272727273,0.6956521739130435,0.7111111111111111,0.7228260869565217,32,36,12,14
Audio,LogisticRegression,0.62,0.7127659574468085,0.7209302325581395,0.6739130434782609,0.6966292134831461,0.7119565217391304,31,36,12,15
Audio,LogisticRegression,0.63,0.7127659574468085,0.7209302325581395,0.6739130434782609,0.6966292134831461,0.7119565217391304,31,36,12,15
Audio,LogisticRegression,0.64,0.7127659574468085,0.7209302325581395,0.6739130434782609,0.6966292134831461,0.7119565217391304,31,36,12,15
Audio,LogisticRegression,0.65,0.723404255319149,0.7380952380952381,0.6739130434782609,0.7045454545454546,0.7223731884057971,31,37,11,15
Audio,LogisticRegression,0.66,0.723404255319149,0.7380952380952381,0.6739130434782609,0.7045454545454546,0.7223731884057971,31,37,11,15
Audio,LogisticRegression,0.67,0.7340425531914894,0.7560975609756098,0.6739130434782609,0.7126436781609196,0.7327898550724637,31,38,10,15
Audio,LogisticRegression,0.68,0.7446808510638298,0.775,0.6739130434782609,0.7209302325581395,0.7432065217391304,31,39,9,15
Audio,LogisticRegression,0.69,0.7446808510638298,0.775,0.6739130434782609,0.7209302325581395,0.7432065217391304,31,39,9,15
Audio,LogisticRegression,0.7,0.7446808510638298,0.775,0.6739130434782609,0.7209302325581395,0.7432065217391304,31,39,9,15
Audio,LogisticRegression,0.71,0.7446808510638298,0.775,0.6739130434782609,0.7209302325581395,0.7432065217391304,31,39,9,15
Audio,LogisticRegression,0.72,0.7553191489361702,0.7948717948717948,0.6739130434782609,0.7294117647058823,0.7536231884057971,31,40,8,15
Audio,LogisticRegression,0.73,0.7553191489361702,0.7948717948717948,0.6739130434782609,0.7294117647058823,0.7536231884057971,31,40,8,15
Audio,LogisticRegression,0.74,0.7553191489361702,0.7948717948717948,0.6739130434782609,0.7294117647058823,0.7536231884057971,31,40,8,15
Audio,LogisticRegression,0.75,0.7553191489361702,0.7948717948717948,0.6739130434782609,0.7294117647058823,0.7536231884057971,31,40,8,15
Audio,LogisticRegression,0.76,0.7446808510638298,0.7894736842105263,0.6521739130434783,0.7142857142857143,0.7427536231884058,30,40,8,16
Audio,LogisticRegression,0.77,0.7446808510638298,0.7894736842105263,0.6521739130434783,0.7142857142857143,0.7427536231884058,30,40,8,16
Audio,LogisticRegression,0.78,0.7553191489361702,0.8108108108108109,0.6521739130434783,0.7228915662650602,0.7531702898550725,30,41,7,16
Audio,LogisticRegression,0.79,0.7553191489361702,0.8108108108108109,0.6521739130434783,0.7228915662650602,0.7531702898550725,30,41,7,16
Audio,LogisticRegression,0.8,0.7553191489361702,0.8108108108108109,0.6521739130434783,0.7228915662650602,0.7531702898550725,30,41,7,16
Audio,LogisticRegression,0.81,0.7553191489361702,0.8108108108108109,0.6521739130434783,0.7228915662650602,0.7531702898550725,30,41,7,16
Audio,LogisticRegression,0.82,0.7553191489361702,0.8108108108108109,0.6521739130434783,0.7228915662650602,0.7531702898550725,30,41,7,16
Audio,LogisticRegression,0.83,0.7446808510638298,0.8055555555555556,0.6304347826086957,0.7073170731707317,0.7423007246376812,29,41,7,17
Audio,LogisticRegression,0.84,0.7446808510638298,0.8055555555555556,0.6304347826086957,0.7073170731707317,0.7423007246376812,29,41,7,17
Audio,LogisticRegression,0.85,0.7553191489361702,0.8285714285714286,0.6304347826086957,0.7160493827160493,0.7527173913043479,29,42,6,17
Audio,LogisticRegression,0.86,0.7553191489361702,0.8484848484848485,0.6086956521739131,0.7088607594936709,0.7522644927536233,28,43,5,18
